game_id,home_team_id,away_team_id,H0oA1,won(T1F0),settled_in1100,goals,sh1s,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,give1s,take1s,winPctTrain,ptPct,goalRating,scoreFirst,leadFirst,outShoot,teamSeasonScore,gameScore,,,,Avg,Max,Min
2015020060,17,12,0,0,0,3,20,17,6,2,0,42.6,8,5,0.597560976,65.2,0.269,0.559,0.8144,0.8144,1.415590244,0.591,,,,,,
2015020060,12,17,1,1,0,5,36,17,4,3,1,57.4,1,4,0.56097561,59.1,0.317,0.4914,0.8694,0.8694,1.368043903,2.039,,,,,,
2015020061,20,52,1,0,0,1,20,15,8,2,0,47.5,11,1,0.37804878,42.7,-0.524,0.3556,0.8234,0.8234,0.891112195,0.47,,,,,,
2015020061,52,20,0,1,0,3,30,17,4,4,0,52.5,13,6,0.42682,47.6,-0.293,0.31716,0.70092,0.32556,0.845365,0.73,,,,,,
2015020062,19,23,1,1,0,4,32,11,15,4,0,49.2,8,3,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,0.617,,,,,,
2015020062,23,19,0,0,0,3,34,15,13,5,0,50.8,8,3,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,0.693,,,,,,
2015020063,21,24,1,1,0,3,25,21,14,2,0,49.2,14,6,0.37804878,45.7,-0.647,0.3752,0.5964,0.5964,0.781762195,0.547,,,,,,
2015020063,24,21,0,0,0,0,35,20,8,5,0,50.8,13,3,0.585365854,62.2,0.379,0.5572,0.786,0.786,1.395391464,0.678,,,,,,
2015020064,26,30,0,1,1,2,37,26,10,4,1,48.3,8,1,0.414634146,46.3,-0.426,0.4046,0.7796,0.7796,0.951108537,1.493,,,,,,
2015020064,30,26,1,0,1,1,26,27,8,5,1,51.7,7,2,0.46341,53,0.11,0.25548,0.823,0.468,1.0599725,1.332,,,,,,
2015020065,17,8,1,0,0,1,22,19,10,3,0,48.4,18,1,0.597560976,65.2,0.269,0.559,0.8144,0.8144,1.415590244,0.359,,,,,,
2015020065,8,17,0,1,0,4,41,18,6,5,2,51.6,6,7,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,2.176,,,,,,
2015020066,18,9,1,1,0,3,25,32,20,6,2,45.2,7,4,0.426829268,47,-0.341,0.368,0.7802,0.7802,0.973557317,1.602,,,,,,
2015020066,9,18,0,0,0,3,41,35,28,2,0,54.8,5,6,0.353658537,42.1,-0.586,0.3652,0.6954,0.6954,0.801914634,0.873,,,,,,
2015020067,14,7,0,1,0,2,22,29,6,4,1,49,6,3,0.573170732,62.8,0.33,0.4338,0.8912,0.8912,1.407842683,1.485,,,,,,
2015020067,7,14,1,0,0,1,32,26,8,3,0,51,8,9,0.463414634,50,-0.207,0.4384,0.8244,0.8244,1.085903659,0.9,,,,,,
2015020068,13,25,0,0,0,2,26,36,6,1,0,49.1,5,2,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,0.811,,,,,,
2015020068,25,13,1,1,0,4,37,23,4,2,1,50.9,6,1,0.56097561,59.8,0.366,0.4948,0.9046,0.9046,1.405743903,2.354,,,,,,
2015020069,5,10,0,1,0,2,33,21,10,5,0,44.3,9,7,0.512195122,56.7,0.098,0.444,0.8172,0.8172,1.239148781,0.738,,,,,,
2015020069,10,5,1,0,0,1,27,32,12,4,0,55.7,1,3,0.426829268,52.4,-0.305,0.3826,0.7528,0.7528,1.026507317,0.907,,,,,,
2015020070,15,12,0,1,0,4,34,19,10,2,2,48.3,15,15,0.5,56.7,-0.122,0.4228,0.75,0.75,1.1422,3.818,,,,,,
2015020070,12,15,1,0,0,1,19,16,6,4,0,51.7,12,7,0.56097561,59.1,0.317,0.4914,0.8694,0.8694,1.368043903,0.627,,,,,,
2015020071,28,2,1,0,0,3,25,17,6,2,0,43.1,12,11,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,0.686,,,,,,
2015020071,2,28,0,1,0,6,34,30,4,3,1,56.9,7,10,0.56097561,61.6,0.219,0.5066,0.8474,0.8474,1.361343903,2.079,,,,,,
2015020072,29,16,1,0,0,1,23,45,19,2,0,43.8,8,6,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,0.663,,,,,,
2015020072,16,29,0,1,0,4,30,25,13,5,2,56.2,8,7,0.5,58.5,0.134,0.452,0.7822,0.7822,1.2476,2.037,,,,,,
2015020073,20,22,0,0,0,2,24,21,13,4,1,43.4,6,5,0.37804878,42.7,-0.524,0.3556,0.8234,0.8234,0.891112195,1.379,,,,,,
2015020073,22,20,1,1,0,5,28,14,13,4,1,56.6,6,8,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,1.576,,,,,,
2015020074,6,53,1,1,0,5,43,32,13,6,3,48.3,5,4,0.426829268,49.4,-0.195,0.4188,0.7674,0.7674,1.040357317,2.423,,,,,,
2015020074,53,6,0,0,0,3,24,19,17,4,1,51.7,4,6,0.42682,47.6,-0.439,0.62304,0.61392,0.3612,0.872495,1.472,,,,,,
2015020075,1,3,1,1,1,2,24,30,9,3,0,43.5,10,4,0.548780488,61,0.195,0.5168,0.8658,0.8658,1.358045122,0.615,,,,,,
2015020075,3,1,0,0,1,1,27,28,11,2,0,56.5,17,9,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,0.705,,,,,,
2015020076,52,19,0,0,0,2,29,30,18,7,2,44.4,12,6,0.42682,47.6,-0.293,0.31716,0.70092,0.32556,0.845365,1.441142857,,,,,,
2015020076,19,52,1,1,0,4,41,21,20,6,1,55.6,13,7,0.475609756,50,-0.342,0.4352,0.7444,0.7444,1.014402439,1.251,,,,,,
2015020077,24,30,0,1,0,4,22,20,2,2,0,47.1,11,4,0.585365854,62.2,0.379,0.5572,0.786,0.786,1.395391464,0.631,,,,,,
2015020077,30,24,1,0,0,1,35,20,4,1,0,52.9,11,6,0.46341,53,0.11,0.25548,0.823,0.468,1.0599725,0.839,,,,,,
2015020078,22,23,1,1,1,2,24,20,4,2,1,32.6,4,9,0.56097561,62.8,0.329,0.499,0.793,0.793,1.371743903,2.226,,,,,,
2015020078,23,22,0,0,1,1,34,25,4,2,0,67.4,17,5,0.609756098,66.5,0.452,0.5802,0.897,0.897,1.523989025,0.859,,,,,,
2015020079,21,26,1,0,0,1,23,31,28,6,1,41,3,1,0.37804878,45.7,-0.647,0.3752,0.5964,0.5964,0.781762195,0.975,,,,,,
2015020079,26,21,0,1,0,2,40,21,32,4,0,59,16,4,0.414634146,46.3,-0.426,0.4046,0.7796,0.7796,0.951108537,0.535,,,,,,
2015020080,3,28,0,1,0,4,28,21,4,1,1,40,7,8,0.5,58.5,0.012,0.4816,0.8478,0.8478,1.2573,3.765,,,,,,
2015020080,28,3,1,0,0,0,22,27,2,2,0,60,6,9,0.426829268,47.6,-0.293,0.4178,0.8142,0.8142,1.021007317,0.995,,,,,,
2015020081,1,53,0,1,1,3,25,19,15,3,0,48.5,5,3,0.548780488,61,0.195,0.5168,0.8658,0.8658,1.358045122,0.64,,,,,,
2015020081,53,1,1,0,1,2,20,12,11,5,1,51.5,2,4,0.42682,47.6,-0.439,0.62304,0.61392,0.3612,0.872495,1.305,,,,,,
2015020082,25,4,1,1,0,2,32,30,14,2,0,47.6,7,7,0.56097561,59.8,0.366,0.4948,0.9046,0.9046,1.405743903,0.806,,,,,,
2015020082,4,25,0,0,0,1,35,37,10,4,0,52.4,13,1,0.585365854,63.4,0.512,0.5644,0.9636,0.9636,1.531241464,0.719,,,,,,
2015020083,13,5,1,0,1,2,33,31,6,2,0,45.9,6,0,0.682926829,73.2,0.695,0.658,0.9664,0.9664,1.724181707,0.764,,,,,,
2015020083,5,13,0,1,1,3,35,31,4,3,2,54.1,8,5,0.512195122,56.7,0.098,0.444,0.8172,0.8172,1.239148781,2.946,,,,,,
2015020084,2,29,1,1,0,4,29,26,21,1,0,38.5,4,4,0.56097561,61.6,0.219,0.5066,0.8474,0.8474,1.361343903,0.595,,,,,,
2015020084,29,2,0,0,0,0,37,39,11,6,0,61.5,4,4,0.4146,46.3,-0.426,0.4046,0.7796,0.414,0.8597,1.07,,,,,,
2015020085,8,19,0,1,0,3,36,25,11,2,0,48,18,10,0.463414634,51.8,-0.134,0.4746,0.804,0.804,1.121003659,0.695,,,,,,
